,State,LGA,lat,lon
0,Cross River,Calabar Municipal,4.95784,8.331658
1,Cross River,Calabar Municipal,4.963248,8.3361
2,Delta,Ughelli North,5.516544,5.973179
3,Bayelsa,Nembe,4.905981,6.297498
4,Cross River,Calabar Municipal,4.974888,8.352433
5,Cross River,Calabar Municipal,4.972791,8.351241
6,Cross River,Calabar South,4.934694,8.30854
7,Bayelsa,Yenagoa,4.956736,6.35868
8,Bayelsa,Yenagoa,4.959065,6.357416
9,Bayelsa,Yenagoa,4.879225,6.289201
10,Rivers,Obio-Akpor,4.882695,6.905513
11,Bayelsa,Yenagoa,4.946722,6.354176
12,Rivers,Obio-Akpor,4.882737,6.905572
13,Lagos,Ifako-Ijaiye,6.674912,3.351964
14,Ondo,Akure South,7.230754,5.206932
15,Ekiti,Ikere,7.492686,5.173214
16,Ekiti,Ikere,7.49264,5.173258
17,Ekiti,Ikere,7.489911,5.172155
18,Ekiti,Ikere,7.490482,5.171908
19,Ekiti,Ikere,7.489602,5.173196
20,Ekiti,Ikere,7.491893,5.172206
21,Ekiti,Ikere,7.494981,5.175612
22,Ekiti,Ado Ekiti,7.639693,5.208927
23,Ekiti,Ado Ekiti,7.639981,5.208586
24,Ekiti,Ado Ekiti,7.639755,5.20876
25,Ekiti,Ado Ekiti,7.639741,5.208638
26,Oyo,Lagelu,7.421575,3.980349
27,Ekiti,Ikere,7.489907,5.172074
28,Ekiti,Ikere,7.489953,5.173035
29,Ekiti,Ikere,7.49209,5.172202
30,Ekiti,Ikere,7.495155,5.175526
31,Ogun,Abeokuta North,7.143582,3.348243
32,Ekiti,Ado Ekiti,7.584415,5.220744
33,Ekiti,Ado Ekiti,7.581175,5.220199
34,Ekiti,Ado Ekiti,7.580293,5.220088
35,Ekiti,Ado Ekiti,7.581175,5.220199
36,Ekiti,Ado Ekiti,7.63988,5.209183
37,Ekiti,Ado Ekiti,7.583845,5.220423
38,Rivers,Obio-Akpor,4.876008,6.915379
39,Rivers,Emohua,4.833416,6.892848
40,Rivers,Obio-Akpor,4.8196,6.975164
41,Bayelsa,Ogbia,4.838604,6.273442
42,Bayelsa,Ogbia,4.839573,6.273078
43,Bayelsa,Ogbia,4.839578,6.273068
44,Bayelsa,Ogbia,4.82125,6.262698
45,Bayelsa,Ogbia,4.836572,6.271393
46,Bayelsa,Ogbia,4.837108,6.271802
47,Rivers,Obio-Akpor,4.820032,6.97509
48,Cross River,Akpabuyo,4.936349,8.432918
49,Bayelsa,Southern Ijaw,4.898448,6.263146
50,Bayelsa,Ogbia,4.83769,6.27306
51,Cross River,Calabar South,4.934612,8.308573
52,Bayelsa,Southern Ijaw,4.898701,6.262685
53,Cross River,Akpabuyo,4.938321,8.434034
54,Bayelsa,Ogbia,4.83774,6.27303
55,Rivers,Obio-Akpor,4.834378,6.960789
56,Rivers,Emohua,4.832786,6.896909
57,Bayelsa,Kolokuma/Opokuma,4.898384,6.262994
58,Cross River,Akpabuyo,4.936271,8.432459
59,Bayelsa,Southern Ijaw,4.837745,6.273988
60,Rivers,Emohua,4.833481,6.897463
61,Rivers,Emohua,4.833725,6.897718
62,Bayelsa,Southern Ijaw,4.900412,6.267074
63,Cross River,Akpabuyo,4.944885,8.431282
64,Bayelsa,Southern Ijaw,4.900442,6.267073
65,Bayelsa,Southern Ijaw,4.900504,6.267299
66,Bayelsa,Southern Ijaw,4.900529,6.267293
67,Rivers,Obio-Akpor,4.836132,6.960913
68,Cross River,Akpabuyo,4.945172,8.43158
69,Bayelsa,Southern Ijaw,4.900374,6.267347
70,Delta,Isoko North,5.449029,6.104168
71,Rivers,Obio-Akpor,4.83415,6.953295
72,Bayelsa,Southern Ijaw,4.900766,6.267451
73,Bayelsa,Southern Ijaw,4.900881,6.267533
74,Rivers,Obio-Akpor,4.839179,6.949476
75,Cross River,Akpabuyo,4.944193,8.43181
76,Rivers,Obio-Akpor,4.841421,6.947778
77,Cross River,Akpabuyo,4.943728,8.431945
78,Cross River,Akpabuyo,4.944517,8.43114
79,Cross River,Akpabuyo,4.945767,8.431377
80,Cross River,Akpabuyo,4.946221,8.43164
81,Rivers,Emohua,4.83234,6.897823
82,Rivers,Emohua,4.832575,6.899195
83,Rivers,Obio-Akpor,4.842764,6.945326
84,Rivers,Obio-Akpor,4.882222,6.905005
85,Rivers,Obio-Akpor,4.898403,6.906995
86,Ogun,Abeokuta North,7.143589,3.347609
87,Ogun,Abeokuta North,7.143589,3.347612
88,Ogun,Abeokuta North,7.143308,3.348487
89,Ogun,Abeokuta North,7.143996,3.347233
90,Ogun,Abeokuta South,7.145197,3.343609
91,Ogun,Abeokuta North,7.144215,3.347215
92,Ogun,Abeokuta North,7.143537,3.347441
93,Ogun,Abeokuta North,7.144355,3.347023
94,Ogun,Abeokuta North,7.144486,3.346639
95,Oyo,Ibadan North-West,7.390977,3.880319
96,Ogun,Abeokuta South,7.145566,3.343258
97,Oyo,Oluyole,7.337022,3.859009
98,Oyo,Ibadan North-West,7.392647,3.882591
99,Ekiti,Emure,7.563674,5.213199
100,Lagos,Agege,6.622696,3.329546
101,Oyo,Oluyole,7.337645,3.859251
102,Lagos,Ifako-Ijaiye,6.666362,3.322521
103,Ekiti,Ado Ekiti,7.583845,5.220423
104,Ondo,Ondo West,7.109412,4.852692
105,Ekiti,Ado Ekiti,7.614298,5.218139
106,Oyo,Oluyole,7.337796,3.859424
107,Lagos,Ifako-Ijaiye,6.665959,3.322459
108,Lagos,Agege,6.630603,3.32124
109,Oyo,Oluyole,7.338672,3.860551
110,Lagos,Ifako-Ijaiye,6.665997,3.322406
111,Lagos,Agege,6.622696,3.329546
112,Ondo,Ondo West,7.10719,4.852601
113,Ondo,Ondo West,7.107141,4.853321
114,Lagos,Agege,6.630357,3.320483
115,Ogun,Abeokuta North,7.144311,3.34658
116,Ogun,Abeokuta North,7.144745,3.346596
117,Ogun,Abeokuta North,7.144784,3.346305
118,Osun,Ede North,7.757498,4.448482
119,Lagos,Agege,6.618334,3.320686
120,Lagos,Ifako-Ijaiye,6.639048,3.331471
121,Lagos,Ifako-Ijaiye,6.639001,3.331845
122,Lagos,Ifako-Ijaiye,6.638331,3.331075
123,Ogun,Obafemi Owode,7.118728,3.320819
124,Lagos,Alimosho,6.651659,3.270604
125,Lagos,Alimosho,6.612414,3.259685
