,State,LGA,Urban_Target,Rural_Target,Urban_Collected,Rural_Collected,Urban_Deficit,Rural_Deficit
0,Abia,Aba North,3,8,0,0,3,8
1,Abia,Aba South,3,8,4,0,0,8
2,Abia,Arochukwu,3,8,0,0,3,8
3,Abia,Bende,3,8,2,5,1,3
4,Abia,Ikwuano,3,8,0,0,3,8
5,Abia,Isiala Ngwa North,3,8,0,0,3,8
6,Abia,Isiala Ngwa South,3,8,0,0,3,8
7,Abia,Isuikwuato,3,8,0,0,3,8
8,Abia,Obi Ngwa,3,8,0,0,3,8
9,Abia,Ohafia,3,8,0,0,3,8
10,Abia,Osisioma,3,8,0,0,3,8
11,Abia,Ugwunagbo,3,8,0,0,3,8
12,Abia,Ukwa East,3,8,0,0,3,8
13,Abia,Ukwa West,3,8,0,0,3,8
14,Abia,Umu Nneochi,3,8,0,0,3,8
15,Abia,Umuahia North,3,8,0,0,3,8
16,Abia,Umuahia South,3,8,2,3,1,5
17,Adamawa,Demsa,3,4,0,0,3,4
18,Adamawa,Fufure,3,4,0,0,3,4
19,Adamawa,Ganye,3,4,0,0,3,4
20,Adamawa,Girei,3,4,0,0,3,4
21,Adamawa,Gombi,3,4,0,0,3,4
22,Adamawa,Guyuk,3,4,0,0,3,4
23,Adamawa,Hong,3,4,0,0,3,4
24,Adamawa,Jada,3,4,0,0,3,4
25,Adamawa,Lamurde,3,4,0,0,3,4
26,Adamawa,Madagali,3,4,0,0,3,4
27,Adamawa,Maiha,3,4,0,0,3,4
28,Adamawa,Mayo Belwa,3,4,0,0,3,4
29,Adamawa,Michika,3,4,0,0,3,4
30,Adamawa,Mubi North,3,4,0,0,3,4
31,Adamawa,Mubi South,3,4,0,0,3,4
32,Adamawa,Numan,3,4,0,0,3,4
33,Adamawa,Shelleng,3,4,0,0,3,4
34,Adamawa,Song,3,4,0,0,3,4
35,Adamawa,Toungo,3,4,0,0,3,4
36,Adamawa,Yola North,3,4,0,0,3,4
37,Adamawa,Yola South,3,4,0,0,3,4
38,Akwa-Ibom,Abak,3,6,3,6,0,0
39,Akwa-Ibom,Eastern Obolo,3,6,0,0,3,6
40,Akwa-Ibom,Eket,3,6,3,6,0,0
41,Akwa-Ibom,Esit Eket,3,6,3,6,0,0
42,Akwa-Ibom,Essien Udim,3,6,3,3,0,3
43,Akwa-Ibom,Etim Ekpo,3,6,0,0,3,6
44,Akwa-Ibom,Etinan,3,6,3,6,0,0
45,Akwa-Ibom,Ibeno,3,6,3,6,0,0
46,Akwa-Ibom,Ibesikpo Asutan,3,6,6,3,0,3
47,Akwa-Ibom,Ibiono-Ibom,3,6,3,6,0,0
48,Akwa-Ibom,Ika,3,6,3,6,0,0
49,Akwa-Ibom,Ikono,3,6,3,6,0,0
50,Akwa-Ibom,Ikot Abasi (village),3,6,3,6,0,0
51,Akwa-Ibom,Ikot Ekpene,3,6,3,5,0,1
52,Akwa-Ibom,Ini,3,6,2,5,1,1
53,Akwa-Ibom,Itu,3,6,3,6,0,0
54,Akwa-Ibom,Mbo,3,6,2,8,1,0
55,Akwa-Ibom,Mkpat-Enin,3,6,3,7,0,0
56,Akwa-Ibom,Nsit-Atai,3,6,1,5,2,1
57,Akwa-Ibom,Nsit-Ibom,3,6,2,7,1,0
58,Akwa-Ibom,Nsit-Ubium,3,6,2,6,1,0
59,Akwa-Ibom,Obot Akara,3,6,3,7,0,0
60,Akwa-Ibom,Okobo,3,6,3,6,0,0
61,Akwa-Ibom,Onna,3,6,4,7,0,0
62,Akwa-Ibom,Oron,3,6,3,6,0,0
63,Akwa-Ibom,Oruk Anam,3,6,2,6,1,0
64,Akwa-Ibom,Udung-Uko,3,6,2,7,1,0
65,Akwa-Ibom,Ukanafun,3,6,4,5,0,1
66,Akwa-Ibom,Uruan,3,6,3,6,0,0
67,Akwa-Ibom,Urue-Offong/Oruko,3,6,3,8,0,0
68,Akwa-Ibom,Uyo,3,6,9,9,0,0
69,Anambra,Aguata,10,3,0,0,10,3
70,Anambra,Anambra East,10,3,0,0,10,3
71,Anambra,Anambra West,10,3,0,0,10,3
72,Anambra,Anaocha,10,3,0,0,10,3
73,Anambra,Awka North,10,3,0,0,10,3
74,Anambra,Awka South,10,3,13,0,0,3
75,Anambra,Ayamelum,10,3,0,0,10,3
76,Anambra,Dunukofia,10,3,0,0,10,3
77,Anambra,Ekwusigo,10,3,0,0,10,3
78,Anambra,Idemili North,10,3,0,0,10,3
79,Anambra,Idemili South,10,3,0,0,10,3
80,Anambra,Ihiala,10,3,0,0,10,3
81,Anambra,Njikoka,10,3,0,0,10,3
82,Anambra,Nnewi North,10,3,0,0,10,3
83,Anambra,Nnewi South,10,3,0,0,10,3
84,Anambra,Ogbaru,10,3,0,0,10,3
85,Anambra,Onitsha North,10,3,0,0,10,3
86,Anambra,Onitsha South,10,3,0,0,10,3
87,Anambra,Orumba North,10,3,0,0,10,3
88,Anambra,Orumba South,10,3,0,0,10,3
89,Anambra,Oyi,10,3,0,0,10,3
90,Bauchi,Alkaleri,3,7,0,0,3,7
91,Bauchi,Bauchi,3,7,0,0,3,7
92,Bauchi,Bogoro,3,7,0,0,3,7
93,Bauchi,Damban,3,7,0,0,3,7
94,Bauchi,Darazo,3,7,0,0,3,7
95,Bauchi,Dass,3,7,0,0,3,7
96,Bauchi,Gamawa,3,7,0,0,3,7
97,Bauchi,Ganjuwa,3,7,0,0,3,7
98,Bauchi,Giade,3,7,0,0,3,7
99,Bauchi,Itas/Gadau,3,7,0,0,3,7
100,Bauchi,Jama'are,3,7,0,0,3,7
101,Bauchi,Katagum,3,7,0,0,3,7
102,Bauchi,Kirfi,3,7,0,0,3,7
103,Bauchi,Misau,3,7,0,0,3,7
104,Bauchi,Ningi,3,7,0,0,3,7
105,Bauchi,Shira,3,7,0,0,3,7
106,Bauchi,Tafawa Balewa,3,7,0,0,3,7
107,Bauchi,Toro,3,7,0,0,3,7
108,Bauchi,Warji,3,7,0,0,3,7
109,Bauchi,Zaki,3,7,0,0,3,7
110,Bayelsa,Brass,3,7,3,7,0,0
111,Bayelsa,Ekeremor,3,7,3,6,0,1
112,Bayelsa,Kolokuma/Opokuma,3,7,3,7,0,0
113,Bayelsa,Nembe,3,7,4,8,0,0
114,Bayelsa,Ogbia,3,7,2,8,1,0
115,Bayelsa,Sagbama,3,7,3,7,0,0
116,Bayelsa,Southern Ijaw,3,7,4,7,0,0
117,Bayelsa,Yenagoa,3,7,7,7,0,0
118,Benue,Ado,3,8,0,0,3,8
